Run,Total_H_per_s,NumDevices,SpeedLines
499,9155300000.000,1,"Speed.#1.........: 9155.3 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
500,9149900000.000,1,"Speed.#1.........: 9149.9 MH/s (76.54ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
501,9153200000.000,1,"Speed.#1.........: 9153.2 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
502,9159000000.000,1,"Speed.#1.........: 9159.0 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
503,9163400000.000,1,"Speed.#1.........: 9163.4 MH/s (76.42ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
504,9161800000.000,1,"Speed.#1.........: 9161.8 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
505,9165300000.000,1,"Speed.#1.........: 9165.3 MH/s (76.41ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
506,9153000000.000,1,"Speed.#1.........: 9153.0 MH/s (76.51ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
507,9154300000.000,1,"Speed.#1.........: 9154.3 MH/s (76.49ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
508,9154400000.000,1,"Speed.#1.........: 9154.4 MH/s (76.53ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
509,9156500000.000,1,"Speed.#1.........: 9156.5 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
510,9159000000.000,1,"Speed.#1.........: 9159.0 MH/s (76.51ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
511,9154400000.000,1,"Speed.#1.........: 9154.4 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
512,9157500000.000,1,"Speed.#1.........: 9157.5 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
513,9156200000.000,1,"Speed.#1.........: 9156.2 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
514,9154500000.000,1,"Speed.#1.........: 9154.5 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
515,9151200000.000,1,"Speed.#1.........: 9151.2 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
516,9147400000.000,1,"Speed.#1.........: 9147.4 MH/s (76.52ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
517,9148600000.000,1,"Speed.#1.........: 9148.6 MH/s (76.54ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
518,9153400000.000,1,"Speed.#1.........: 9153.4 MH/s (76.50ms) @ Accel:8 Loops:1024 Thr:1024 Vec:1"
519,9158000000.000,1,"Speed.#1.........: 9158.0 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
520,9155300000.000,1,"Speed.#1.........: 9155.3 MH/s (76.48ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
521,9157000000.000,1,"Speed.#1.........: 9157.0 MH/s (76.45ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
522,9151600000.000,1,"Speed.#1.........: 9151.6 MH/s (76.51ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
523,9155800000.000,1,"Speed.#1.........: 9155.8 MH/s (76.46ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
524,9154300000.000,1,"Speed.#1.........: 9154.3 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
525,9156700000.000,1,"Speed.#1.........: 9156.7 MH/s (76.47ms) @ Accel:16 Loops:1024 Thr:512 Vec:1"
