Run,Points,InputLen_bytes,Time_ms
423,3,44,3.719417000
424,3,44,3.669519000
425,3,44,3.865879000
426,3,44,4.584911000
427,3,44,4.357276000
428,3,44,3.895829000
429,3,44,3.759062000
430,3,44,3.609241000
431,3,44,3.661007000
432,3,44,3.661498000
433,3,44,3.630353000
434,3,44,4.055109000
435,3,44,3.835307000
436,3,44,3.718568000
437,3,44,3.748992000
438,3,44,3.715624000
439,3,44,3.621578000
440,3,44,3.614570000
441,3,44,3.687902000
442,3,44,4.022509000
443,3,44,3.945963000
444,3,44,3.681557000
445,3,44,3.647047000
446,3,44,3.662251000
447,3,44,3.628764000
448,3,44,3.641060000
449,3,44,3.625618000
450,3,44,4.095072000
451,3,44,3.963036000
452,3,44,3.770314000
453,3,44,3.809330000
454,3,44,3.672959000
455,3,44,3.668033000
456,3,44,3.698941000
457,3,44,3.596508000
458,3,44,4.076160000
459,3,44,4.010809000
460,3,44,3.798286000
461,3,44,3.835963000
462,3,44,3.683216000
463,3,44,3.708921000
464,3,44,3.616367000
465,3,44,3.563901000
466,3,44,3.802897000
467,3,44,3.745985000
468,3,44,3.708724000
469,3,44,3.688790000
470,3,44,3.730680000
471,3,44,3.735868000
472,3,44,3.721332000
473,3,44,3.670149000
474,3,44,4.113551000
475,3,44,3.879151000
476,3,44,3.738900000
477,3,44,3.709509000
478,3,44,3.678390000
479,3,44,3.838255000
480,3,44,3.604816000
481,3,44,3.710290000
482,3,44,3.815323000
483,3,44,3.827067000
484,3,44,3.714775000
485,3,44,3.787324000
486,3,44,3.749718000
487,3,44,3.847939000
488,3,44,3.686718000
489,3,44,3.726636000
490,3,44,3.766654000
491,3,44,3.704807000
492,3,44,3.689439000
493,3,44,3.737420000
494,3,44,3.789042000
495,3,44,3.741173000
496,3,44,3.782348000
497,3,44,4.164034000
498,3,44,4.118300000
499,3,44,3.824936000
500,3,44,3.790957000
501,3,44,3.690356000
